Month,Sales,Month_Num
2014-01,14236.895,0
2014-02,4519.892,1
2014-03,55691.009,2
2014-04,28295.345,3
2014-05,23648.287,4
2014-06,34595.1276,5
2014-07,33946.393,6
2014-08,27909.4685,7
2014-09,81777.3508,8
2014-10,31453.393,9
2014-11,78628.7167,10
2014-12,69545.6205,11
2015-01,18174.0756,12
2015-02,11951.411,13
2015-03,38726.252,14
2015-04,34195.2085,15
2015-05,30131.6865,16
2015-06,24797.292,17
2015-07,28765.325,18
2015-08,36898.3322,19
2015-09,64595.918,20
2015-10,31404.9235,21
2015-11,75972.5635,22
2015-12,74919.5212,23
2016-01,18542.490999999998,24
2016-02,22978.815,25
2016-03,51715.875,26
2016-04,38750.039000000004,27
2016-05,56987.728,28
2016-06,40344.534,29
2016-07,39261.963,30
2016-08,31115.3743,31
2016-09,73410.0249,32
2016-10,59687.745,33
2016-11,79411.9658,34
2016-12,96999.043,35
2017-01,43971.374,36
2017-02,20301.1334,37
2017-03,58872.3528,38
2017-04,36521.5361,39
2017-05,44261.1102,40
2017-06,52981.7257,41
2017-07,45264.416,42
2017-08,63120.888,43
2017-09,87866.652,44
2017-10,77776.9232,45
2017-11,118447.825,46
2017-12,83829.3188,47
